predictions_2,targets_2,predictions_4,targets_4,predictions_8,targets_8,predictions_10,targets_10,predictions_15,targets_15,predictions_20,targets_20,predictions_40,targets_40,predictions_50,targets_50,predictions_100,targets_100
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,2,0,5,0,2,0,2,0,2,0,2,0,2,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,2,0,2,0,4,0,2,0,2,0,4,0,4,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
4,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,4,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,5,0,1,0,5,0,1,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
0,0,0,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,2,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,2,0,2,0,5,0,2,0,5,0,5,0,5,0,5,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
5,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
5,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
2,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
5,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0
2,0,4,0,2,0,2,0,2,0,2,0,4,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
4,0,4,0,2,0,4,0,4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
