2022-09-01 10:03:58,074 INFO    MainThread:15615 [wandb_setup.py:_flush():75] Loading settings from /home/ltorres/.config/wandb/settings
2022-09-01 10:03:58,075 INFO    MainThread:15615 [wandb_setup.py:_flush():75] Loading settings from /home/ltorres/leo/Cloud-Classification/cloud_classification/wandb/settings
2022-09-01 10:03:58,075 INFO    MainThread:15615 [wandb_setup.py:_flush():75] Loading settings from environment variables: {}
2022-09-01 10:03:58,075 INFO    MainThread:15615 [wandb_setup.py:_flush():75] Inferring run settings from compute environment: {'program_relpath': 'cloud_classification/train.py', 'program': '/home/ltorres/leo/Cloud-Classification/cloud_classification/train.py'}
2022-09-01 10:03:58,075 INFO    MainThread:15615 [wandb_init.py:_log_setup():405] Logging user logs to /home/ltorres/leo/Cloud-Classification/cloud_classification/wandb/run-20220901_100358-1gruuzcb/logs/debug.log
2022-09-01 10:03:58,075 INFO    MainThread:15615 [wandb_init.py:_log_setup():406] Logging internal logs to /home/ltorres/leo/Cloud-Classification/cloud_classification/wandb/run-20220901_100358-1gruuzcb/logs/debug-internal.log
2022-09-01 10:03:58,075 INFO    MainThread:15615 [wandb_init.py:init():439] calling init triggers
2022-09-01 10:03:58,075 INFO    MainThread:15615 [wandb_init.py:init():442] wandb.init called with sweep_config: {}
config: {'hardware': {'device': 'cuda:2'}, 'data': {'path_dataset': '/data/ltorres', 'path_save_weights': '/data/ltorres/CLOUD_CLASSIFICATION_WEIGHTS', 'path_save_logs': '/data/ltorres/model_logs', 'class_names': ['1_cumulus', '2_altocumulus', '3_cirrus', '4_clearsky', '5_stratocumulus', '6_cumulonimbus', '7_mixed'], 'resize': 256, 'use_augmentation': True}, 'hyperparameters': {'epochs': 30, 'batch_size': 32, 'learning_rate': 5e-05, 'early_stopping_tolerance': 8, 'criterion': 'cross_entropy', 'optimizer': 'sgd', 'use_scheduler': True, 'lr_decay_steps': 15, 'lr_decay_gamma': 0.5}, 'model': {'hidden_dim': 512, 'num_hidden': 2, 'num_classes': 7, 'feature_extraction': False, 'conv_type': 'gcn', 'conv_parameters': {'num_heads': 2, 'agg': 'sum'}, 'gnn_dropout': 0.3, 'adjacency_builder': 'cos_sim', 'builder_parameter': 0.45, 'use_both_heads': False, 'loss_lambda': 1}}
2022-09-01 10:03:58,076 INFO    MainThread:15615 [wandb_init.py:init():492] starting backend
2022-09-01 10:03:58,076 INFO    MainThread:15615 [backend.py:_multiprocessing_setup():99] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-09-01 10:03:58,091 INFO    MainThread:15615 [backend.py:ensure_launched():219] starting backend process...
2022-09-01 10:03:58,099 INFO    MainThread:15615 [backend.py:ensure_launched():224] started backend process with pid: 15657
2022-09-01 10:03:58,100 INFO    MainThread:15615 [wandb_init.py:init():501] backend started and connected
2022-09-01 10:03:58,109 INFO    MainThread:15615 [wandb_init.py:init():565] updated telemetry
2022-09-01 10:03:58,130 INFO    MainThread:15615 [wandb_init.py:init():596] communicating run to backend with 30 second timeout
2022-09-01 10:03:58,966 INFO    MainThread:15615 [wandb_run.py:_on_init():1759] communicating current version
2022-09-01 10:03:59,022 INFO    MainThread:15615 [wandb_run.py:_on_init():1763] got version response upgrade_message: "wandb version 0.13.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-09-01 10:03:59,022 INFO    MainThread:15615 [wandb_init.py:init():625] starting run threads in backend
